Company_Name,Stock_Code,Day,WeekDay,Week,Month,Month_Name,Quarter,Opening_Value,Highest_Value,Lowest_Value,Closing_Value,Volume,Daily_Closing_Variation,Year
Tesla,TSLA,2024-04-30,Tuesday,18,4,April,2,186.98,190.95,182.8401,183.28,127031787,-5.550115949497557,2024
Tesla,TSLA,2024-04-29,Monday,18,4,April,2,188.42,198.87,184.54,194.05,243869678,15.306910689880576,2024
Tesla,TSLA,2024-04-26,Friday,17,4,April,2,168.85,172.12,166.37,168.29,109815725,-1.1105887883417644,2024
Tesla,TSLA,2024-04-25,Thursday,17,4,April,2,158.96,170.88,158.36,170.18,126427521,4.9651514216986445,2024
Tesla,TSLA,2024-04-24,Wednesday,17,4,April,2,162.84,167.97,157.51,162.13,181178020,12.06110035941387,2024
Tesla,TSLA,2024-04-23,Tuesday,17,4,April,2,143.33,147.26,141.11,144.68,124545104,1.8514607532558922,2024
Tesla,TSLA,2024-04-22,Monday,17,4,April,2,140.56,144.44,138.8025,142.05,107097564,-3.4002040122407338,2024
Tesla,TSLA,2024-04-19,Friday,16,4,April,2,148.97,150.94,146.22,147.05,87074500,-1.9208964183285504,2024
Tesla,TSLA,2024-04-18,Thursday,16,4,April,2,151.25,152.2,148.7,149.93,96098830,-3.550981022836914,2024
Tesla,TSLA,2024-04-17,Wednesday,16,4,April,2,157.64,158.33,153.78,155.45,82439718,-1.056584558589539,2024
Tesla,TSLA,2024-04-16,Tuesday,16,4,April,2,156.742,158.19,153.75,157.11,96999956,-2.7062174882338224,2024
Tesla,TSLA,2024-04-15,Monday,16,4,April,2,170.24,170.69,161.38,161.48,100245310,-5.59485530546625,2024
Tesla,TSLA,2024-04-12,Friday,15,4,April,2,172.34,173.8099,170.3644,171.05,64722669,-2.033218785796096,2024
Tesla,TSLA,2024-04-11,Thursday,15,4,April,2,172.55,175.88,168.51,174.6,94515987,1.6534699580810455,2024
Tesla,TSLA,2024-04-10,Wednesday,15,4,April,2,173.04,174.93,170.01,171.76,84532407,-2.894617819990957,2024
Tesla,TSLA,2024-04-09,Tuesday,15,4,April,2,172.91,179.22,171.92,176.88,102327658,2.25459590704128,2024
Tesla,TSLA,2024-04-08,Monday,15,4,April,2,169.34,174.5,167.79,172.98,104039371,4.899939357186164,2024
Tesla,TSLA,2024-04-05,Friday,14,4,April,2,169.08,170.86,160.51,164.9,136439809,-3.629244345742509,2024
